symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,yearHigh,yearLow,totalTradedVolume,totalTradedValue,lastUpdateTime,perChange365d,perChange30d
ALOKINDS,ALOKINDSEQN,17.7,18.25,16.7,17.2,17.7,-0.5,-2.82,22.4,10.1,13059545,228280846.6,25-Oct-2023 15:59:48,-,-5.35
GRINFRA,GRINFRAEQN,1137.95,1147,1092.05,1104,1136.55,-32.55,-2.86,1381,930,38750,43256237.5,25-Oct-2023 15:59:49,-7.48,-8.05
BEML,BEMLEQN,2139.9,2139.9,1956.2,1999,2058.95,-59.95,-2.91,2720.5,1128,434249,880765534.25,25-Oct-2023 15:59:44,29.31,-12.41
SYRMA,SYRMAEQN,624.65,624.65,576.15,594.2,612.7,-18.5,-3.02,664.8,248.1,1582620,938889315,25-Oct-2023 15:59:51,124.23,14.81
POLYPLEX,POLYPLEXEQN,1103,1138.55,1062.6,1068,1101.5,-33.5,-3.04,1865,1062.6,134472,146158961.52,25-Oct-2023 15:59:26,-36.59,-4.25
WESTLIFE,WESTLIFEEQN,925,925,891,893,921.55,-28.55,-3.1,1024.95,639.3,232531,210375446.32,25-Oct-2023 15:58:32,22.04,-3.56
JAMNAAUTO,JAMNAAUTOEQN,110.6,113.25,105.05,107.5,111,-3.5,-3.15,127.1,94.4,1591362,172519554.42,25-Oct-2023 15:59:09,-0.58,-6.21
BCG,BCGEQN,15.8,16.15,15.05,15.3,15.8,-0.5,-3.16,41.5,9.35,7689401,119877761.59,25-Oct-2023 15:59:54,-57.07,-17.71
MHRIL,MHRILEQN,407.2,418.6,386.2,395,408.6,-13.6,-3.33,470,240.6,442394,176701011.48000002,25-Oct-2023 15:59:50,45.15,1.83
STLTECH,STLTECHEQN,158.8,159.2,149.3,150.6,155.8,-5.2,-3.34,193,142,1228845,188701438.2,25-Oct-2023 15:59:46,-7.01,-3.38
PNCINFRA,PNCINFRAEQN,344,346.3,329.65,329.85,341.3,-11.45,-3.35,387.7,237,335899,112932602.78999999,25-Oct-2023 15:59:59,31.32,-7.91
VMART,VMARTEQN,1895,1895,1787.05,1810,1873.95,-63.95,-3.41,3174.9,1787.05,53969,98420027.16000001,25-Oct-2023 15:56:43,-36.42,-9.18
CSBBANK,CSBBANKEQN,333,338,318.6,322.2,334.1,-11.9,-3.56,373.6,214.95,540258,177145195.62,25-Oct-2023 15:58:33,42.87,1.4
TATAINVEST,TATAINVESTEQN,3144.4,3177.45,2962.1,3019,3133.05,-114.05,-3.64,3521,1730,163499,499569559.51,25-Oct-2023 15:59:24,31.29,12.01
LEMONTREE,LEMONTREEEQN,110,113.8,106.5,107.75,111.85,-4.1,-3.67,126.8,70.2,6738232,737432110.08,25-Oct-2023 15:59:59,29.76,-3.03
MTARTECH,MTARTECHEQN,2649.95,2686.95,2512.65,2539,2647.7,-108.7,-4.11,2920.35,1473,233842,603532171.48,25-Oct-2023 15:59:44,63.03,6.35
SAREGAMA,SAREGAMAEQN,346.85,350,330.05,331.5,345.85,-14.35,-4.15,489.45,303.25,263488,89051039.36000001,25-Oct-2023 15:57:56,-8.31,-5.04
IRCON,IRCONEQN,145.85,148.75,132.65,136.75,142.9,-6.15,-4.3,174.45,41.05,22866664,3182124962.24,25-Oct-2023 15:59:50,235.84,1.03
KSB,KSBEQN,2976,3083,2821.5,2850,2983.95,-133.95,-4.49,3347.95,1717,50651,147519011.46,25-Oct-2023 15:57:45,46.4,-3.11
FINPIPE,FINPIPEEQN,204.8,206.8,191.2,193.15,202.65,-9.5,-4.69,259.95,130,1136841,223309677.63,25-Oct-2023 15:56:25,49.45,-8.43
